In powershell
$env:SQUID_TIMING_REPORT=1
python main_hcs.py

     job creation and dispatch: (N=81, total=0.0065 [s]): mean=0.0001 [s], median=0.0001 [s], min/max=0.0001/0.0009 [s]
        current_capture_info =: (N=81, total=0.0056 [s]): mean=0.0001 [s], median=0.0001 [s], min/max=0.0000/0.0002 [s]
     obs:cls:set_exposure_time: (N=81, total=0.0049 [s]): mean=0.0001 [s], median=0.0000 [s], min/max=0.0000/0.0003 [s]
     obs:fos:set_exposure_time: (N=81, total=0.0028 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0002 [s]
           obs:cls:set_binning: (N=81, total=0.0026 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0001 [s]
   af:verify_cross_correlation: (N=3, total=0.0025 [s]): mean=0.0008 [s], median=0.0006 [s], min/max=0.0003/0.0016 [s]
    obs:ip:set_led_matrix_mode: (N=621, total=0.0016 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0006 [s]
  _ready_for_next_trigger.wait: (N=81, total=0.0014 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
             wait:ic_event_set: (N=81, total=0.0014 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
      obs:ip:set_channel_state: (N=621, total=0.0012 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
initialize_coordinates_dataframe: (N=1, total=0.0010 [s]): mean=0.0010 [s], median=0.0010 [s], min/max=0.0010/0.0010 [s]
       wait:sdk_entry_to_clear: (N=81, total=0.0009 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
 wait_camera_ready_for_trigger: (N=81, total=0.0009 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
 obs:preset:cs_set_analog_gain: (N=81, total=0.0008 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
             get_shutter_state: (N=81, total=0.0004 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
       obs:fos:set_analog_gain: (N=81, total=0.0004 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
obs:preset:toggle_confocal_widefield: (N=81, total=0.0004 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
          wait:sdk_clear_to_ic: (N=81, total=0.0004 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
       obs:cls:set_analog_gain: (N=81, total=0.0003 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
    obs:fos:apply_optical_path: (N=81, total=0.0003 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
obs:preset:cs_set_pixel_format: (N=81, total=0.0002 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
      obs:cls:set_pixel_format: (N=81, total=0.0001 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
            initialize_z_stack: (N=1, total=0.0000 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
               save_plate_view: (N=1, total=0.0000 [s]): mean=0.0000 [s], median=0.0000 [s], min/max=0.0000/0.0000 [s]
